# 'a' : 3.21%
# 'b' : 1.05%
# 'c' : 0.03%
# 'd' : 1.21%
# 'e' : 1.28%
# 'f' : 1.08%
# 'g' : 4.31%
# 'h' : 1.39%
# 'i' : 0.13%
# 'j' : 1.28%
# 'k' : 9.03%
# 'l' : 2.64%
# 'm' : 2.08%
# 'n' : 0.15%
# 'o' : 0.18%
# 'p' : 0.03%
# 'q' : 5.75%
# 'r' : 4.49%
# 's' : 9.47%
# 't' : 1.36%
# 'u' : 0.49%
# 'v' : 1.93%
# 'w' : 0.85%
# 'x' : 5.31%
# 'y' : 0.15%
# 'z' : 5.90%
# ' ' : 2.54%
# '"' : 5.62%
# '.' : 16.56%
# ',' : 1.93%
# ';' : 1.59%
# '-' : 6.98%
# "'" : 5.26%
